Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,66.32,66.50,65.88,66.39,1902700,65.78
2013-12-30,66.28,66.65,65.98,66.32,866600,65.71
2013-12-27,66.12,66.52,65.89,66.36,740800,65.75
2013-12-26,66.60,66.67,65.92,66.16,619300,65.55
2013-12-24,66.46,66.84,66.02,66.68,374000,66.07
2013-12-23,66.83,67.02,66.36,66.55,836600,65.94
2013-12-20,65.71,67.42,65.70,66.61,2240300,66.00
2013-12-19,65.95,65.98,64.99,65.60,1210500,65.00
2013-12-18,65.25,66.28,64.52,66.15,1446000,65.54
2013-12-17,65.95,65.99,65.04,65.28,1902400,64.68
2013-12-16,65.50,66.33,65.42,66.05,921600,65.44
2013-12-13,65.55,65.72,65.23,65.36,509000,64.76
2013-12-12,65.35,66.08,65.21,65.36,1079200,64.76
2013-12-11,66.65,66.66,65.66,66.00,1637600,64.74
2013-12-10,67.12,67.14,66.60,66.63,1398400,65.36
2013-12-09,67.54,67.59,66.88,67.22,1021700,65.94
2013-12-06,66.64,67.65,66.63,67.61,1014500,66.32
2013-12-05,66.71,66.83,66.29,66.38,951600,65.12
2013-12-04,66.50,66.94,66.16,66.83,816600,65.56
2013-12-03,66.53,66.95,66.38,66.85,846700,65.58
2013-12-02,66.86,66.97,66.05,66.78,876500,65.51
2013-11-29,66.80,67.10,66.66,66.74,451100,65.47
2013-11-27,67.26,67.28,66.79,66.92,881400,65.65
2013-11-26,68.09,68.28,67.09,67.19,1012300,65.91
2013-11-25,68.86,69.01,68.09,68.17,796600,66.87
2013-11-22,68.80,69.18,68.59,68.86,1042800,67.55
2013-11-21,68.90,69.27,68.61,68.92,962400,67.61
2013-11-20,69.00,69.22,68.56,68.77,1473400,67.46
2013-11-19,69.26,69.31,68.71,68.79,932400,67.48
2013-11-18,69.74,69.79,69.17,69.37,699700,68.05
2013-11-15,69.00,69.50,68.77,69.49,824700,68.17
2013-11-14,68.47,69.41,68.42,69.15,705800,67.83
2013-11-13,67.80,68.18,67.41,68.16,1509100,66.86
2013-11-12,68.86,69.18,67.95,68.29,1108700,66.99
2013-11-11,69.44,69.66,68.86,69.18,684900,67.86
2013-11-08,68.98,69.37,68.01,69.34,1495400,68.02
2013-11-07,70.32,70.64,69.33,69.36,1440900,68.04
2013-11-06,69.85,70.45,69.85,70.19,1107100,68.85
2013-11-05,69.95,70.62,69.65,69.76,1498600,68.43
2013-11-04,69.68,70.17,69.19,70.10,1513300,68.77
2013-11-01,69.26,69.68,68.98,69.44,842700,68.12
2013-10-31,69.25,69.48,68.19,69.14,1178600,67.82
2013-10-30,69.94,70.31,69.23,69.34,1080900,68.02
2013-10-29,70.21,70.22,69.29,69.79,1251100,68.46
2013-10-28,69.56,70.19,69.29,69.64,1557100,68.31
2013-10-25,67.13,69.47,66.58,69.44,1816300,68.12
2013-10-24,68.27,68.32,67.30,67.60,1174900,66.31
2013-10-23,67.40,68.89,67.24,68.26,1815900,66.96
2013-10-22,66.91,67.65,66.76,67.42,889000,66.14
2013-10-21,67.16,67.38,66.61,66.84,732200,65.57
2013-10-18,67.40,67.72,67.06,67.21,967000,65.93
2013-10-17,66.08,67.34,65.71,67.22,1286900,65.94
2013-10-16,65.94,66.39,65.71,66.26,985800,65.00
2013-10-15,66.38,66.62,65.69,65.71,1414900,64.46
2013-10-14,66.47,66.69,65.56,66.49,923000,65.22
2013-10-11,66.56,66.96,66.35,66.83,567400,65.56
2013-10-10,66.00,66.55,65.15,66.52,875500,65.25
2013-10-09,65.27,66.26,64.97,65.62,1238400,64.37
2013-10-08,64.75,65.55,64.57,65.07,1910800,63.83
2013-10-07,64.75,65.16,64.45,64.53,953500,63.30
2013-10-04,65.18,65.52,64.98,65.07,570600,63.83
2013-10-03,66.07,66.07,64.98,65.19,767200,63.95
2013-10-02,65.96,66.35,65.50,66.32,941800,65.06
2013-10-01,66.16,66.40,65.89,66.13,568000,64.87
2013-09-30,65.66,66.07,65.53,65.98,955100,64.72
2013-09-27,66.20,66.63,65.80,66.06,794700,64.80
2013-09-26,66.69,67.06,66.31,66.56,760600,65.29
2013-09-25,67.28,67.48,66.35,66.55,1229900,65.28
2013-09-24,67.69,67.88,67.11,67.18,1479800,65.90
2013-09-23,67.13,68.15,66.67,67.60,1393100,66.31
2013-09-20,67.91,68.10,66.97,67.18,1464700,65.90
2013-09-19,68.10,68.65,67.60,67.91,843100,66.62
2013-09-18,66.36,68.43,66.03,68.20,1046700,66.90
2013-09-17,66.10,66.46,65.94,66.22,736700,64.96
2013-09-16,66.59,67.04,65.75,65.91,1104600,64.66
2013-09-13,65.88,66.34,65.71,65.82,516600,64.57
2013-09-12,66.40,67.02,65.60,65.69,771900,64.44
